LJ003-0040|The evils of association for these debtors were perpetuated, although the plan provided for the separation of the various contingents committed to it.|The evils of association for these debtors were perpetuated, although the plan provided for the separation of the various contingents committed to it.
LJ006-0014|They should be persons, he thought, selected from the highest class; the duty was most important,|They should be persons, he thought, selected from the highest class; the duty was most important,
LJ009-0239|The whole case was referred to the king, and the poor wretch, whose crime had been a military one, was eventually pardoned.|The whole case was referred to the king, and the poor wretch, whose crime had been a military one, was eventually pardoned.
LJ011-0169|Miss Turner, not knowing him, would have left the room, but he said he came from her father, and she remained.|Miss Turner, not knowing him, would have left the room, but he said he came from her father, and she remained.
LJ012-0093|and the police were unable at first to get on the track of the thieves.|and the police were unable at first to get on the track of the thieves.
LJ013-0220|that Courvoisier was idle, discontented, ready to take offense, greedy of gain;|that Courvoisier was idle, discontented, ready to take offense, greedy of gain;
LJ028-0388|The old walls were restored to a height sufficient to prevent the escape of the animals, and among the ruins the kings enjoyed their favorite sport.|The old walls were restored to a height sufficient to prevent the escape of the animals, and among the ruins the kings enjoyed their favorite sport.
LJ039-0136|After he left the Marines and before departing for Russia, Oswald, his brother, and a third companion went hunting for squirrels and rabbits.|After he left the Marines and before departing for Russia, Oswald, his brother, and a third companion went hunting for squirrels and rabbits.
LJ042-0228|I went there to see the land, the people and how their system works, end quote.|I went there to see the land, the people and how their system works, end quote.
LJ050-0082|the interest of the Secret Service goes beyond information on individuals or groups threatening to cause harm or embarrassment to the President.|the interest of the Secret Service goes beyond information on individuals or groups threatening to cause harm or embarrassment to the President.
